lat_suburb,long_suburb,suburb,region,state
-35.27767,149.11829,Acton,Australian Capital Territory,Australian Capital Territory
-34.91119,138.70735,Adelaide Hills,Adelaide Hills,South Australia
-35.0031,117.86595,Albany,Albany,Western Australia
-34.85925,138.52138,Alberton,Port Adelaide Enfield,South Australia
-35.28333,138.48333,Aldinga,Onkaparinga,South Australia
-31.82758,115.86501,Alexander Heights,Wanneroo,Western Australia
-37.19132,145.7112,Alexandra,Murrindindi,Victoria
-33.91667,151.2,Alexandria,City of Sydney,New South Wales
-23.69748,133.88362,Alice Springs,Alice Springs,Northern Territory
-33.76655,151.24981,Allambie Heights,Warringah,New South Wales
-38.38639,142.59431,Allansford,Warrnambool,Victoria
-37.86964,144.83036,Altona,Hobsons Bay,Victoria
-37.83487,144.84735,Altona North,Hobsons Bay,Victoria
-13.85413,136.42129,Alyangula,East Arnhem,Northern Territory
-34.50129,139.04625,Angaston,Barossa,South Australia
-34.64098,138.6461,Angle Vale,Playford,South Australia
-38.4073,144.18587,Anglesea,Surf Coast,Victoria
-32.78135,152.08586,Anna Bay,Port Stephens Shire,New South Wales
-38.7594,143.67219,Apollo Bay,Colac-Otway,Victoria
-37.28542,142.92728,Ararat,Ararat,Victoria
-33.61667,151.03333,Arcadia,Hornsby Shire,New South Wales
-33.06052,151.58408,Arcadia vale,Lake Macquarie Shire,New South Wales
-34.42217,137.91907,Ardrossan,Yorke Peninsula,South Australia
-32.14607,116.0093,Armadale,Armadale,Western Australia
-30.50828,151.67123,Armidale,Armidale Dumaresq,New South Wales
-27.43154,153.058,Ascot,Brisbane,Queensland
-37.86659,145.10553,Ashwood,Monash,Victoria
-33.68333,151.1,Asquith,Hornsby Shire,New South Wales
-34.87019,138.6999,Athelstone,Campbelltown,South Australia
-17.26864,145.47522,Atherton,Tablelands,Queensland
-32.02489,115.802,Attadale,Melville,Western Australia
-34.31566,115.15922,Augusta,Augusta-Margaret River Shire,Western Australia
-42.76667,147.25,Austins Ferry,Glenorchy,Tasmania
-33.2792,115.71504,Australind,Harvey,Western Australia
-19.57393,147.40666,Ayr,Burdekin,Queensland
-37.67268,144.43829,Bacchus Marsh,Moorabool,Victoria
-37.7,145.51667,Badger Creek,Yarra Ranges,Victoria
-37.82289,147.61041,Bairnsdale,East Gippsland,Victoria
-34.14542,138.41148,Balaklava,Wakefield,South Australia
-31.87501,115.82839,Balcatta,Stirling,Western Australia
-33.79494,151.2572,Balgowlah,Manly Vale,New South Wales
-34.99094,138.82565,Balhannah,Adelaide Hills,South Australia
-37.56667,143.86667,Ballarat East,Ballarat,Victoria
-28.86414,153.56541,Ballina,Ballina,New South Wales
-38.36667,145.13333,Balnarring,Mornington Peninsula,Victoria
-33.91667,151.03333,Bankstown,Bankstown,New South Wales
-34.25562,140.46147,Barmera,Berri and Barmera,South Australia
-31.90906,115.9437,Bassendean,Bassendean,Western Australia
-35.70658,150.17541,Batemans Bay,Eurobodalla,New South Wales
-33.41665,149.5806,Bathurst,Bathurst Regional,New South Wales
-38.2,145.15,Baxter,Mornington Peninsula,Victoria
-41.20227,146.81723,Beaconsfield,West Tamar,Tasmania
-37.99415,145.4142,Beaconsfield Upper,Cardinia,Victoria
-34.94899,138.66188,Beaumont,Burnside,South Australia
-33.69993,150.9411,Beaumont Hills,The Hills Shire,New South Wales
-41.16283,146.83827,Beauty Point,West Tamar,Tasmania
-32.17406,116.0504,Bedfordale,Armadale,Western Australia
-32.13339,115.80637,Beeliar,City of Cockburn,Western Australia
-27.71137,153.2029,Beenleigh,Logan,Queensland
-36.67392,149.84178,Bega,Bega Valley,New South Wales
-34.99766,138.62077,Belair,Mitcham,South Australia
-35.21667,149.08333,Belconnen,Australian Capital Territory,Australian Capital Territory
-37.93333,145.33333,Belgrave South,Yarra Ranges,Victoria
-38.10793,144.33839,Bell Park,Greater Geelong,Victoria
-38.09564,144.31968,Bell Post Hill,Greater Geelong,Victoria
-31.9,116.01667,Bellevue,Swan,Western Australia
-30.45294,152.89911,Bellingen,Bellingen,New South Wales
-27.5,153.11667,Belmont,Brisbane,Queensland
-33.02081,151.66849,Belmont North,Lake Macquarie Shire,New South Wales
-36.55113,145.98425,Benalla,Benalla,Victoria
-32.8,151.65,Beresfield,Newcastle,New South Wales
-34.48333,150.85,Berkeley,Wollongong,New South Wales
-36.419,150.06355,Bermagui,Bega Valley,New South Wales
-33.62078,151.15091,Berowra,Hornsby Shire,New South Wales
-33.61211,151.13754,Berowra Heights,Hornsby Shire,New South Wales
-34.28107,140.59958,Berri,Berri and Barmera,South Australia
-36.36565,148.82677,Berridale,Snowy River,New South Wales
-42.81667,147.25,Berriedale,Glenorchy,Tasmania
-35.65879,145.81145,Berrigan,Berrigan,New South Wales
-34.77527,150.69064,Berry,Shoalhaven Shire,New South Wales
-32.24369,115.84572,Bertram,Kwinana,Western Australia
-38.03333,145.35,Berwick,Casey,Victoria
-32.10839,116.92736,Beverley,Beverley,Western Australia
-32.09764,115.81921,Bibra Lake,City of Cockburn,Western Australia
-28.2266,153.4676,Bilambil,Tweed,New South Wales
-28.2161,153.48415,Bilambil Heights,Tweed,New South Wales
-24.39589,150.51504,Biloela,Banana,Queensland
